Статья КоАП РФ;Часть;Вид правонарушения;Санкция
Статья 12.11 Нарушение правил движения по автомагистрали;ч. 2;Движение на грузовом автомобиле с разрешенной максимальной массой более 3,5 т по автомагистрали далее второй полосы а равно учебная езда по автомагистрали;штраф 1000 руб.
Статья 12.11 Нарушение правил движения по автомагистрали;ч. 3;Разворот или въезд транспортного средства в технологические разрывы разделительной полосы на автомагистрали либо движение задним ходом по автомагистрали;штраф 2500 руб.
Статья 12.12 Проезд на запрещающий сигнал светофора или на запрещающий жест регулировщика;ч. 1;Проезд на запрещающий сигнал светофора или на запрещающий жест регулировщика;штраф 1500 руб.
Статья 12.12 Проезд на запрещающий сигнал светофора или на запрещающий жест регулировщика;ч. 2;Невыполнение требования Правил дорожного движения об остановке перед стоп-линией при запрещающем сигнале светофора или запрещающем жесте регулировщика;штраф 800 руб.
Статья 12.12 Проезд на запрещающий сигнал светофора или на запрещающий жест регулировщика;ч. 3;Повторное совершение административного правонарушения предусмотренного ч. 1;штраф 7500 руб. или лишение прав на 4-6 месяцев
Статья 12.13 Нарушение правил проезда перекрестков;ч. 1;Выезд на перекресток или пересечение проезжей части дороги в случае образовавшегося затора который вынудил водителя остановиться создав препятствие для движения транспортных средств в поперечном направлении;штраф 1000 руб.
Статья 12.13 Нарушение правил проезда перекрестков;ч. 2;Невыполнение требования Правил дорожного движения уступить дорогу транспортному средству пользующемуся преимущественным правом проезда перекрестков;штраф 1000 руб.
Статья 12.14 Нарушение правил маневрирования;ч. 1;Невыполнение требования Правил дорожного движения подать сигнал перед началом движения перестроением поворотом разворотом или остановкой;предупреждение или штраф 500 руб.
Статья 12.14 Нарушение правил маневрирования;ч. 1.1;Невыполнение требования Правил дорожного движения перед поворотом направо налево или разворотом заблаговременно занять соответствующее крайнее положение на проезжей части;предупреждение или штраф 500 руб.
Статья 12.14 Нарушение правил маневрирования;ч. 2;Разворот или движение задним ходом в местах где такие маневры запрещены;штраф 500 руб.
Статья 12.14 Нарушение правил маневрирования;ч. 3;Невыполнение требования Правил дорожного движения уступить дорогу транспортному средству пользующемуся преимущественным правом движения;предупреждение или штраф 500 руб.
Статья 12.15 Нарушение правил расположения транспортного средства на проезжей части дороги встречного разъезда или обгона;ч. 1;Нарушение правил расположения транспортного средства на проезжей части дороги встречного разъезда а равно движение по обочинам или пересечение организованной транспортной или пешей колонны либо занятие места в ней;штраф 2250 руб.
Статья 12.15 Нарушение правил расположения транспортного средства на проезжей части дороги встречного разъезда или обгона;ч. 1.1;Невыполнение водителем тихоходного транспортного средства вне населенных пунктов требования Правил дорожного движения пропустить следующие за ним транспортные средства для обгона или опережения;штраф 1000-1500 руб.
Статья 12.15 Нарушение правил расположения транспортного средства на проезжей части дороги встречного разъезда или обгона;ч. 2;Движение по велосипедным или пешеходным дорожкам либо тротуарам в нарушение Правил дорожного движения;штраф 2000 руб.
Статья 12.15 Нарушение правил расположения транспортного средства на проезжей части дороги встречного разъезда или обгона;ч. 3;Выезд в нарушение Правил дорожного движения на полосу предназначенную для встречного движения при объезде препятствия либо на трамвайные пути встречного направления при объезде препятствия;штраф 1500-2250 руб.
Статья 12.15 Нарушение правил расположения транспортного средства на проезжей части дороги встречного разъезда или обгона;ч. 4;Выезд в нарушение Правил дорожного движения на полосу предназначенную для встречного движения либо на трамвайные пути встречного направления за исключением случаев предусмотренных ч. 3;штраф 7500 руб. или лишение прав на 4-6 месяцев
Статья 12.15 Нарушение правил расположения транспортного средства на проезжей части дороги встречного разъезда или обгона;ч. 5;Повторное совершение административного правонарушения предусмотренного ч. 4;лишение прав на 1 год; при фиксации автоматическими средствами штраф 7500 руб.
Статья 12.16 Несоблюдение требований предписанных дорожными знаками или разметкой проезжей части дороги;ч. 1;Несоблюдение требований предписанных дорожными знаками или разметкой проезжей части дороги за исключением случаев предусмотренных ч. 2-8 и другими статьями;предупреждение или штраф 750 руб.
Статья 12.16 Несоблюдение требований предписанных дорожными знаками или разметкой проезжей части дороги;ч. 2;Поворот налево или разворот в нарушение требований предписанных дорожными знаками или разметкой проезжей части дороги;штраф 1500-2250 руб.
Статья 12.16 Несоблюдение требований предписанных дорожными знаками или разметкой проезжей части дороги;ч. 3;Движение во встречном направлении по дороге с односторонним движением;штраф 7500 руб. или лишение прав на 4-6 месяцев
